TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,9.86E-08,-1.04658078,-1.00553838,-5.63816172,0.00,2.05,5.64,,,
4.00E-04,1.26E-07,-2.09316827,-2.01108332,-11.2763463,0.00,4.10,11.28,,,
7.00E-04,3.64E-08,-3.66305312,-3.51940424,-19.7336659,0.00,7.18,19.73,,,
1.15E-03,-3.90E-07,-6.01793004,-5.78193416,-32.4199819,0.00,11.80,32.42,,,
1.83E-03,-1.67E-06,-9.55047759,-9.17595635,-51.4510024,0.00,18.73,51.45,,,
2.84E-03,-4.98E-06,-14.8504197,-14.2680878,-80.0048,0.00,29.12,80.00,,,
4.36E-03,-1.29E-05,-22.8056119,-21.9114607,-122.868308,-0.01,44.72,122.87,,,
6.36E-03,-2.85E-05,-33.2924833,-31.9874804,-179.380014,-0.03,65.28,179.38,,,
8.36E-03,-4.92E-05,-43.7673831,-42.0516946,-235.831325,-0.05,85.82,235.83,,,
1.04E-02,-7.47E-05,-54.2298923,-52.1037098,-292.189902,-0.07,106.33,292.19,,,
1.24E-02,-1.05E-04,-64.6916099,-62.1549105,-348.538087,-0.10,126.85,348.54,,,
1.44E-02,-1.38E-04,-75.1548211,-72.2075278,-404.901146,-0.14,147.36,404.90,,,
1.64E-02,-1.75E-04,-85.6185919,-82.26064,-461.268913,-0.18,167.88,461.27,,,
1.84E-02,-2.16E-04,-96.082538,-92.3138662,-517.637433,-0.22,188.40,517.64,,,
2.04E-02,-2.59E-04,-106.546668,-102.367211,-574.00685,-0.26,208.91,574.01,,,
2.24E-02,-3.05E-04,-117.011,-112.420687,-630.377377,-0.30,229.43,630.38,,,
2.44E-02,-3.53E-04,-127.47552,-122.474278,-686.748919,-0.35,249.95,686.75,,,
2.64E-02,-4.03E-04,-137.940212,-132.527966,-743.121354,-0.40,270.47,743.12,,,
2.84E-02,-4.55E-04,-148.405064,-142.581736,-799.494586,-0.46,290.99,799.49,,,
3.04E-02,-5.09E-04,-158.870065,-152.635576,-855.868538,-0.51,311.51,855.87,,,
3.24E-02,-5.64E-04,-169.335205,-162.689474,-912.243137,-0.56,332.02,912.24,,,
3.44E-02,-6.21E-04,-179.800476,-172.74342,-968.618321,-0.62,352.54,968.62,,,
3.64E-02,-6.78E-04,-190.26587,-182.797405,-1024.99403,-0.68,373.06,1024.99,,,
3.84E-02,-7.37E-04,-200.73138,-192.851421,-1081.37022,-0.74,393.58,1081.37,,,
4.04E-02,-7.97E-04,-211.196999,-202.905462,-1137.74684,-0.80,414.10,1137.75,,,
4.24E-02,-8.57E-04,-221.662721,-212.95952,-1194.12386,-0.86,434.62,1194.12,,,
4.44E-02,-9.18E-04,-232.128542,-223.01359,-1250.50123,-0.92,455.14,1250.50,,,
4.64E-02,-9.79E-04,-242.594456,-233.067667,-1306.87892,-0.98,475.66,1306.88,,,
4.84E-02,-1.04E-03,-253.060459,-243.121747,-1363.25691,-1.04,496.18,1363.26,,,
5.04E-02,-1.10E-03,-263.526548,-253.175826,-1419.63516,-1.10,516.70,1419.64,,,
5.24E-02,-1.17E-03,-273.992717,-263.229899,-1476.01366,-1.17,537.22,1476.01,,,
5.44E-02,-1.23E-03,-284.458965,-273.283964,-1532.39239,-1.23,557.74,1532.39,,,
5.64E-02,-1.29E-03,-294.925288,-283.338019,-1588.77131,-1.29,578.26,1588.77,,,
5.84E-02,-1.36E-03,-305.391683,-293.39206,-1645.15043,-1.36,598.78,1645.15,,,
6.04E-02,-1.42E-03,-315.858148,-303.446085,-1701.52971,-1.42,619.30,1701.53,,,
6.24E-02,-1.48E-03,-326.324679,-313.500092,-1757.90915,-1.48,639.82,1757.91,,,
6.44E-02,-1.55E-03,-336.791276,-323.55408,-1814.28874,-1.55,660.35,1814.29,,,
6.64E-02,-1.61E-03,-347.257935,-333.608047,-1870.66846,-1.61,680.87,1870.67,,,
